0,5999766.8
0.54,5944169.15
1.54,5810168.49
2.54,5661639.35
3.54,5534433.79
4.54,5399721.46
5.54,5264874.32
6.54,5097163.86
7.54,4960082.47
8.54,4843177.19
9.54,4720941.89
10.54,4608242.26
11.54,4495187.73
12.54,4393014.88
13.54,4292236.4
14.54,4193774.53
15.54,4084796.54
16.54,3930219.88
17.54,3790900.21
18.54,3671706.4
19.54,3563206.57
20.54,3426626.36
21.54,3326417.75
22.54,3229475.01
23.54,3135233.67
24.54,3042020.04
25.54,2945708.42
26.54,2846967.51
27.54,2724520.41
28.54,2603570.27
29.54,2508118.57
30.54,2429669.31
31.54,2359427.44
32.54,2286898.45
33.54,2223763.52
34.54,2163313.5
35.54,2105424.98
36.54,2043286.52
37.54,1967678.18
38.54,1900664.32
39.54,1839481.65
40.54,1771416.04
41.54,1708788.54
42.54,1651208.45
43.54,1592274.14
44.54,1532486.8
45.54,1469841.76
46.54,1407411.7
47.54,1340524.91
48.54,1264399.52
49.54,1169862.13
50.54,1054817.24
51.54,891087.99
52.54,781758.22
53.54,621455.23
54.54,485032.18
55.54,349191.39
56.54,164635.5
57.54,62376.85
58.54,11244.41
59.54,171

